O25_RANDOM_POOL_BASE — PLAYABLE PICKS GLOBAL
==========================================
Format TSV:
date	match_id	bet_family	time	league	home	away	odd	fixture_id	pipeline	source

# ------------------------------------------------------------------
# APPEND O25_RANDOM_POOL_BASE | 2026-04-18 14:59:59 | run_date=ALL | source=predictions.tsv
# ------------------------------------------------------------------
TSV: 2026-04-18	3170057697	O25_FT	18:15	cymru premier league	Barry Town	The New Saints	1.67	1508985	O25_RANDOM_POOL_BASE	predictions.tsv
TSV: 2026-04-18	1899009236	O25_FT	18:15	cymru premier league	Caernarfon Town	Penybont	1.67	1508986	O25_RANDOM_POOL_BASE	predictions.tsv
TSV: 2026-04-18	3057247242	O25_FT	18:15	cymru premier league	Haverfordwest County AFC	llanelli AFC	1.53	1509017	O25_RANDOM_POOL_BASE	predictions.tsv
TSV: 2026-04-18	3865028750	O25_FT	18:30	laliga2	Castellón	Burgos	2	1392159	O25_RANDOM_POOL_BASE	predictions.tsv
TSV: 2026-04-18	3791655495	O25_FT	18:30	russian premier league	Nizhny Novgorod	Dynamo	1.85	1400227	O25_RANDOM_POOL_BASE	predictions.tsv
TSV: 2026-04-18	2483341479	O25_FT	18:30	laliga2	Cultural Leonesa	Cordoba	1.83	1392151	O25_RANDOM_POOL_BASE	predictions.tsv
TSV: 2026-04-18	3137561873	O25_FT	18:30	superliga serbia	FK Partizan	Železničar Pančevo	1.8	1540272	O25_RANDOM_POOL_BASE	predictions.tsv
TSV: 2026-04-18	1425454517	O25_FT	18:30	premier league	Tottenham	Brighton	1.65	1379298	O25_RANDOM_POOL_BASE	predictions.tsv
TSV: 2026-04-18	2264829101	O25_FT	18:30	bundesliga	Eintracht Frankfurt	RB Leipzig	1.45	1388572	O25_RANDOM_POOL_BASE	predictions.tsv
TSV: 2026-04-18	2019834662	O25_FT	18:45	hnl croatia	Istra 1961	Vukovar	1.9	1384066	O25_RANDOM_POOL_BASE	predictions.tsv
TSV: 2026-04-18	945973190	O25_FT	19:00	liga portugal	Casa Pia	Santa Clara	2.45	1396500	O25_RANDOM_POOL_BASE	predictions.tsv
TSV: 2026-04-18	2846557593	O25_FT	19:00	ligue 1	Angers	Le Havre	2.35	1387959	O25_RANDOM_POOL_BASE	predictions.tsv
TSV: 2026-04-18	4242406979	O25_FT	19:00	super league greece	Panetolikos	Panserraikos	2.3	1537087	O25_RANDOM_POOL_BASE	predictions.tsv
TSV: 2026-04-18	1251065931	O25_FT	19:00	liga portugal 2	Torreense	Maritimo	2.05	1398237	O25_RANDOM_POOL_BASE	predictions.tsv
TSV: 2026-04-18	2769842773	O25_FT	19:00	mls	Toronto FC	Austin	1.85	1490212	O25_RANDOM_POOL_BASE	predictions.tsv
TSV: 2026-04-18	2710711017	O25_FT	19:00	super lig	Gençlerbirliği S.K.	Galatasaray	1.57	1394697	O25_RANDOM_POOL_BASE	predictions.tsv
TSV: 2026-04-18	10376507	O25_FT	19:15	schweizer cup	Stade Lausanne-Ouchy	Grasshoppers	1.85	1518993	O25_RANDOM_POOL_BASE	predictions.tsv
TSV: 2026-04-18	2621965583	O25_FT	19:30	serie b	Juve Stabia	Catanzaro	2.1	1419936	O25_RANDOM_POOL_BASE	predictions.tsv
TSV: 2026-04-18	1637383900	O25_FT	19:30	superligaen	Diosgyori VTK	Debreceni VSC	1.7	1380348	O25_RANDOM_POOL_BASE	predictions.tsv
TSV: 2026-04-18	1985246154	O25_FT	20:00	liga profesional argentina	Gimnasia L.P.	Estudiantes de Rio Cuarto	2.6	1492033	O25_RANDOM_POOL_BASE	predictions.tsv
TSV: 2026-04-18	83554271	O25_FT	20:00	ligue 2	Bastia	Saint Etienne	2.05	1389381	O25_RANDOM_POOL_BASE	predictions.tsv
TSV: 2026-04-18	1476784697	O25_FT	20:00	liga i romania	Dinamo Bucuresti	Universitatea Cluj	2	1531632	O25_RANDOM_POOL_BASE	predictions.tsv
TSV: 2026-04-18	2428838908	O25_FT	20:15	ekstraklasa	Pogon Szczecin	Lech Poznan	1.55	1380641	O25_RANDOM_POOL_BASE	predictions.tsv
TSV: 2026-04-18	1821325680	O25_FT	20:30	2. bundesliga	Hannover 96	SC Paderborn 07	1.57	1388879	O25_RANDOM_POOL_BASE	predictions.tsv
TSV: 2026-04-18	1185682912	O25_FT	20:30	mls	CF Montreal	New York Red Bulls	1.55	1490211	O25_RANDOM_POOL_BASE	predictions.tsv
TSV: 2026-04-18	441631396	O25_FT	20:30	super league switzerland	FC Thun	FC Basel 1893	1.4	1494592	O25_RANDOM_POOL_BASE	predictions.tsv
TSV: 2026-04-18	1641887676	O25_FT	20:45	serie a italia	AS Roma	Atalanta	2	1378190	O25_RANDOM_POOL_BASE	predictions.tsv
TSV: 2026-04-18	1533635990	O25_FT	20:45	pro league	KV Mechelen	Anderlecht	1.8	1536985	O25_RANDOM_POOL_BASE	predictions.tsv
TSV: 2026-04-18	3561495340	O25_FT	21:00	liga pro ecuador	Mushuc Runa SC	Tecnico Universitario	2.25	1519325	O25_RANDOM_POOL_BASE	predictions.tsv
TSV: 2026-04-18	1014060362	O25_FT	21:00	copa del rey	Atletico Madrid	Real Sociedad	1.85	1529694	O25_RANDOM_POOL_BASE	predictions.tsv
TSV: 2026-04-18	2152459203	O25_FT	21:00	premier league	Chelsea	Manchester United	1.57	1379291	O25_RANDOM_POOL_BASE	predictions.tsv
TSV: 2026-04-18	1595109020	O25_FT	21:05	ligue 1	Lille	Nice	1.8	1387961	O25_RANDOM_POOL_BASE	predictions.tsv
TSV: 2026-04-18	2786190727	O25_FT	21:30	liga portugal	GIL Vicente	Guimaraes	2.1	1396502	O25_RANDOM_POOL_BASE	predictions.tsv
TSV: 2026-04-18	1462458171	O25_FT	22:15	liga profesional argentina	Instituto Cordoba	Estudiantes L.P.	2.6	1492036	O25_RANDOM_POOL_BASE	predictions.tsv
TSV: 2026-04-18	1539709349	O25_FT	22:30	mls	Colorado Rapids	Inter Miami	1.38	1490213	O25_RANDOM_POOL_BASE	predictions.tsv
TSV: 2026-04-18	2700270307	O25_FT	23:15	primera división paraguay	Club Guarani	Sportivo Luqueno	2.15	1505056	O25_RANDOM_POOL_BASE	predictions.tsv
TSV: 2026-04-18	1374379946	O25_FT	23:30	serie a brazil	Vasco DA Gama	Sao Paulo	2.2	1492228	O25_RANDOM_POOL_BASE	predictions.tsv
TSV: 2026-04-18	4223755289	O25_FT	23:30	serie a brazil	Chapecoense-sc	Botafogo	2	1492221	O25_RANDOM_POOL_BASE	predictions.tsv
TSV: 2026-04-18	342737517	O25_FT	23:30	liga pro ecuador	Universidad Catolica	Libertad	1.65	1519327	O25_RANDOM_POOL_BASE	predictions.tsv

# ------------------------------------------------------------------
# APPEND O25_RANDOM_POOL_BASE | 2026-04-19 00:15:12 | run_date=ALL | source=predictions.tsv
# ------------------------------------------------------------------
TSV: 2026-04-19	619146836	O25_FT	02:00	liga pro ecuador	Orense SC	Delfin SC	2.3	1519326	O25_RANDOM_POOL_BASE	predictions.tsv
TSV: 2026-04-19	3441857006	O25_FT	02:30	mls	FC Dallas	Los Angeles Galaxy	1.57	1490220	O25_RANDOM_POOL_BASE	predictions.tsv
TSV: 2026-04-19	3146754391	O25_FT	02:30	mls	Minnesota United FC	Portland Timbers	1.57	1490221	O25_RANDOM_POOL_BASE	predictions.tsv
TSV: 2026-04-19	1492645881	O25_FT	02:45	liga profesional argentina	Argentinos JRS	Atletico Tucuman	2.2	1492029	O25_RANDOM_POOL_BASE	predictions.tsv
TSV: 2026-04-19	2234621376	O25_FT	03:05	liga mx	Monterrey	Pachuca	1.62	1492594	O25_RANDOM_POOL_BASE	predictions.tsv
TSV: 2026-04-19	3004239624	O25_FT	03:07	liga mx	Guadalajara Chivas	Puebla	1.53	1492593	O25_RANDOM_POOL_BASE	predictions.tsv
TSV: 2026-04-19	1508211818	O25_FT	03:30	primera a colombia	Fortaleza FC	Águilas Doradas	2.2	1506090	O25_RANDOM_POOL_BASE	predictions.tsv
TSV: 2026-04-19	571537900	O25_FT	03:30	mls	Seattle Sounders	St. Louis City	1.65	1490222	O25_RANDOM_POOL_BASE	predictions.tsv
TSV: 2026-04-19	4200618350	O25_FT	03:30	mls	Real Salt Lake	San Diego	1.38	1490223	O25_RANDOM_POOL_BASE	predictions.tsv
TSV: 2026-04-19	883550572	O25_FT	05:06	liga mx	Leon	FC Juarez	1.65	1492596	O25_RANDOM_POOL_BASE	predictions.tsv
TSV: 2026-04-19	3673853595	O25_FT	05:10	liga mx	Club America	Toluca	2	1492595	O25_RANDOM_POOL_BASE	predictions.tsv
TSV: 2026-04-19	2962835386	O25_FT	12:00	liga portugal 2	Portimonense	Lusitânia Lourosa	2.08	1398235	O25_RANDOM_POOL_BASE	predictions.tsv
TSV: 2026-04-19	3956685990	O25_FT	12:00	ukrainian premier league	Kryvbas KR	Ruh Lviv	2	1396797	O25_RANDOM_POOL_BASE	predictions.tsv
