# date | league | home vs away | reason
2025-11-30 | liga pro ecuador | Aucas vs Deportivo Cuenca | FIXTURE_NOT_FOUND_ROBUST
2025-11-30 | liga pro ecuador | Macara vs El Nacional | FIXTURE_NOT_FOUND_ROBUST
2025-11-30 | liga profesional argentina | Central Cordoba de Santiago vs Estudiantes L.P. | FIXTURE_NOT_FOUND_ROBUST
2025-11-30 | liga profesional argentina | Boca Juniors vs Argentinos JRS | FIXTURE_NOT_FOUND_ROBUST
2025-11-30 | ligue 1 | Strasbourg vs Stade Brestois 29 | FIXTURE_NOT_FOUND_ROBUST
2025-11-30 | ligue 1 | Angers vs Lens | FIXTURE_NOT_FOUND_ROBUST
2025-11-30 | ligue 1 | Le Havre vs Lille | FIXTURE_NOT_FOUND_ROBUST
2025-11-30 | ligue 1 | Lorient vs Nice | FIXTURE_NOT_FOUND_ROBUST
2025-11-30 | ligue 1 | Lyon vs Nantes | FIXTURE_NOT_FOUND_ROBUST
2025-11-29 | mls | Inter Miami vs New York City FC | FIXTURE_NOT_FOUND_ROBUST
2025-11-30 | mls | San Diego vs Vancouver Whitecaps | FIXTURE_NOT_FOUND_ROBUST
2025-11-30 | premier league | Crystal Palace vs Manchester United | FIXTURE_NOT_FOUND_ROBUST
2025-11-30 | premier league | Aston Villa vs Wolves | FIXTURE_NOT_FOUND_ROBUST
2025-11-30 | premier league | Nottingham Forest vs Brighton | FIXTURE_NOT_FOUND_ROBUST
2025-11-30 | premier league | West Ham vs Liverpool | FIXTURE_NOT_FOUND_ROBUST
2025-11-30 | premier league | Chelsea vs Arsenal | FIXTURE_NOT_FOUND_ROBUST
2025-11-30 | premiership | Hibernian vs Celtic | FIXTURE_NOT_FOUND_ROBUST
2025-11-30 | premiership | Rangers vs Falkirk | FIXTURE_NOT_FOUND_ROBUST
2025-11-30 | premiership | Livingston vs Aberdeen | FIXTURE_NOT_FOUND_ROBUST
2025-11-30 | primera a colombia | Fortaleza FC vs Bucaramanga | FIXTURE_NOT_FOUND_ROBUST
2025-11-30 | primera división chile | Everton de Vina vs Deportes Iquique | FIXTURE_NOT_FOUND_ROBUST
2025-11-30 | primera división chile | Union Espanola vs O'Higgins | FIXTURE_NOT_FOUND_ROBUST
