league	bet_a	bet_b	n_pair	phi	p_b_given_a	p_b	lift	joint_rate
serie b	O15_FT	HT1X_HOME	66	-0.160771	0.76087	0.80303	0.947498	0.530303
serie b	HT1X_HOME	TEAM1_SCORE_FT	66	0.137881	0.830189	0.80303	1.03382	0.666667
serie b	TEAM1_SCORE_FT	TEAM2_SCORE_FT	66	0.100795	0.660377	0.636364	1.037736	0.530303
super league switzerland	O15_FT	TEAM1_SCORE_FT	28	1.0	1.0	0.892857	1.12	0.892857
super league switzerland	O15_FT	HT05	28	0.503322	0.76	0.678571	1.12	0.678571
super league switzerland	HT05	TEAM1_SCORE_FT	28	0.503322	1.0	0.892857	1.12	0.678571
super league switzerland	HT05	HT1X_HOME	28	-0.39736	0.631579	0.75	0.842105	0.428571
super league switzerland	HT05	TEAM2_SCORE_FT	28	0.278111	0.894737	0.821429	1.089245	0.607143
super league switzerland	HT1X_HOME	TEAM2_SCORE_FT	28	-0.269191	0.761905	0.821429	0.927536	0.571429
super league switzerland	O15_FT	HT1X_HOME	28	-0.2	0.72	0.75	0.96	0.642857
super league switzerland	HT1X_HOME	TEAM1_SCORE_FT	28	-0.2	0.857143	0.892857	0.96	0.642857
super league switzerland	O15_FT	TEAM2_SCORE_FT	28	0.139979	0.84	0.821429	1.022609	0.75
super league switzerland	TEAM1_SCORE_FT	TEAM2_SCORE_FT	28	0.139979	0.84	0.821429	1.022609	0.75
super lig	O15_FT	TEAM2_SCORE_FT	29	0.71	0.96	0.862069	1.1136	0.827586
super lig	O15_FT	HT05	29	0.475436	0.84	0.758621	1.107273	0.724138
super lig	O15_FT	TEAM1_SCORE_FT	29	0.475436	0.84	0.758621	1.107273	0.724138
super lig	HT1X_HOME	TEAM1_SCORE_FT	29	0.435065	0.863636	0.758621	1.13843	0.655172
super lig	HT05	HT1X_HOME	29	-0.318182	0.681818	0.758621	0.89876	0.517241
super lig	HT05	TEAM1_SCORE_FT	29	0.246753	0.818182	0.758621	1.078512	0.62069
super lig	HT05	TEAM2_SCORE_FT	29	0.241747	0.909091	0.862069	1.054545	0.689655
super lig	TEAM1_SCORE_FT	TEAM2_SCORE_FT	29	0.241747	0.909091	0.862069	1.054545	0.689655
super lig	O15_FT	HT1X_HOME	29	-0.22563	0.72	0.758621	0.949091	0.62069
super lig	HT1X_HOME	TEAM2_SCORE_FT	29	-0.22563	0.818182	0.862069	0.949091	0.62069
superligaen	O15_FT	HT05	18	0.891883	0.909091	0.555556	1.636364	0.555556
superligaen	O15_FT	TEAM1_SCORE_FT	18	0.777429	1.0	0.722222	1.384615	0.611111
superligaen	HT05	TEAM1_SCORE_FT	18	0.693375	1.0	0.722222	1.384615	0.555556
superligaen	HT05	HT1X_HOME	18	-0.5547	0.5	0.722222	0.692308	0.277778
superligaen	O15_FT	HT1X_HOME	18	-0.494727	0.545455	0.722222	0.755245	0.333333
superligaen	HT1X_HOME	TEAM1_SCORE_FT	18	-0.384615	0.615385	0.722222	0.852071	0.444444
superligaen	HT1X_HOME	TEAM2_SCORE_FT	18	-0.27735	0.769231	0.833333	0.923077	0.555556
superligaen	TEAM1_SCORE_FT	TEAM2_SCORE_FT	18	-0.27735	0.769231	0.833333	0.923077	0.555556
superligaen	O15_FT	TEAM2_SCORE_FT	18	0.254824	0.909091	0.833333	1.090909	0.555556
superligaen	HT05	TEAM2_SCORE_FT	18	0.2	0.9	0.833333	1.08	0.5
taça da liga	O15_FT	HT05	5	0.0	1.0	1.0	1.0	1.0
taça da liga	O15_FT	HT1X_HOME	5	0.0	0.0	0.0	0.0	0.0
taça da liga	O15_FT	TEAM1_SCORE_FT	5	0.0	1.0	1.0	1.0	1.0
taça da liga	O15_FT	TEAM2_SCORE_FT	5	0.0	1.0	1.0	1.0	1.0
taça da liga	HT05	HT1X_HOME	5	0.0	0.0	0.0	0.0	0.0
taça da liga	HT05	TEAM1_SCORE_FT	5	0.0	1.0	1.0	1.0	1.0
taça da liga	HT05	TEAM2_SCORE_FT	5	0.0	1.0	1.0	1.0	1.0
taça da liga	HT1X_HOME	TEAM1_SCORE_FT	5	0.0	0.0	1.0	0.0	0.0
taça da liga	HT1X_HOME	TEAM2_SCORE_FT	5	0.0	0.0	1.0	0.0	0.0
taça da liga	TEAM1_SCORE_FT	TEAM2_SCORE_FT	5	0.0	1.0	1.0	1.0	1.0
taça de portugal	O15_FT	TEAM2_SCORE_FT	7	1.0	1.0	0.714286	1.4	0.714286
taça de portugal	O15_FT	HT05	7	0.0	1.0	1.0	1.0	0.714286
taça de portugal	O15_FT	HT1X_HOME	7	0.0	1.0	1.0	1.0	0.714286
taça de portugal	O15_FT	TEAM1_SCORE_FT	7	0.0	1.0	1.0	1.0	0.714286
taça de portugal	HT05	HT1X_HOME	7	0.0	1.0	1.0	1.0	1.0
taça de portugal	HT05	TEAM1_SCORE_FT	7	0.0	1.0	1.0	1.0	1.0
taça de portugal	HT05	TEAM2_SCORE_FT	7	0.0	0.714286	0.714286	1.0	0.714286
taça de portugal	HT1X_HOME	TEAM1_SCORE_FT	7	0.0	1.0	1.0	1.0	1.0
taça de portugal	HT1X_HOME	TEAM2_SCORE_FT	7	0.0	0.714286	0.714286	1.0	0.714286
taça de portugal	TEAM1_SCORE_FT	TEAM2_SCORE_FT	7	0.0	0.714286	0.714286	1.0	0.714286
uefa champions league	O15_FT	HT05	45	0.419314	0.761905	0.711111	1.071429	0.711111
uefa champions league	O15_FT	TEAM2_SCORE_FT	45	0.397697	0.738095	0.688889	1.071429	0.688889
uefa champions league	HT05	TEAM1_SCORE_FT	45	0.317768	0.96875	0.911111	1.063262	0.688889
uefa champions league	HT1X_HOME	TEAM2_SCORE_FT	45	-0.312484	0.621622	0.688889	0.902354	0.511111
uefa champions league	HT05	HT1X_HOME	45	-0.296374	0.75	0.822222	0.912162	0.533333
uefa champions league	O15_FT	TEAM1_SCORE_FT	45	0.229566	0.928571	0.911111	1.019164	0.866667
uefa champions league	O15_FT	HT1X_HOME	45	-0.124274	0.809524	0.822222	0.984556	0.755556
uefa champions league	HT05	TEAM2_SCORE_FT	45	0.101199	0.71875	0.688889	1.043347	0.511111
uefa champions league	HT1X_HOME	TEAM1_SCORE_FT	45	0.059003	0.918919	0.911111	1.00857	0.755556
uefa champions league	TEAM1_SCORE_FT	TEAM2_SCORE_FT	45	-0.041231	0.682927	0.688889	0.991345	0.622222
uefa europa league	HT1X_HOME	TEAM1_SCORE_FT	36	0.526787	0.925926	0.805556	1.149425	0.694444
uefa europa league	O15_FT	TEAM1_SCORE_FT	36	0.435936	0.92	0.805556	1.142069	0.638889
uefa europa league	O15_FT	TEAM2_SCORE_FT	36	0.426401	0.8	0.666667	1.2	0.555556
uefa europa league	HT05	TEAM2_SCORE_FT	36	0.426401	0.8	0.666667	1.2	0.555556
uefa europa league	HT1X_HOME	TEAM2_SCORE_FT	36	-0.408248	0.555556	0.666667	0.833333	0.416667
uefa europa league	HT05	HT1X_HOME	36	-0.382971	0.64	0.75	0.853333	0.444444
uefa europa league	O15_FT	HT05	36	0.214545	0.76	0.694444	1.0944	0.527778
uefa europa league	TEAM1_SCORE_FT	TEAM2_SCORE_FT	36	-0.198517	0.62069	0.666667	0.931034	0.5
uefa europa league	O15_FT	HT1X_HOME	36	0.174078	0.8	0.75	1.066667	0.555556
uefa europa league	HT05	TEAM1_SCORE_FT	36	-0.021162	0.8	0.805556	0.993103	0.555556
