   # │ Jour       │         RAND SAFE(3)         │         RAND NORM(4)         │         SYS SAFE(4)          │         SYS NORM(4)          │      Rés
  42 │ 02-15      │ ❌    1732€ →    10394€ │ ❌     188€ →     2636€ │ ✅    1391€ →    11820€ │ ✅     330€ →     2800€ │   48333€
  43 │ 02-15      │ ✅    3465€ →    16035€ │ ✅     377€ →     3249€ │ ✅     788€ →    13273€ │ ✅     187€ →     3144€ │   48333€
  44 │ 02-15      │ ✅    2291€ →    11857€ 💰 │ ✅     217€ →     3645€ │ ✅     885€ →    14547€ │ ✅     210€ →     3446€ │   58784€
  45 │ 02-16      │ ✅    1694€ →    14330€ │ ✅     243€ →     4000€ │ ✅     970€ →    13458€ 💰 │ ✅     230€ →     3779€ │   66792€
  46 │ 02-17      │ ✅    2047€ →    17273€ │ ✅     267€ →     4383€ │ ✅     897€ →    14816€ │ ✅     252€ →     4161€ │   66792€
  47 │ 02-18      │ ✅    2468€ →    21073€ │ ✅     292€ →     4833€ │ ❌     988€ →    13828€ │ ❌     277€ →     3883€ │   66792€
  48 │ 02-19      │ ✅    3010€ →    16154€ 💰 │ ✅     322€ →     5289€ │ ✅    1975€ →    17228€ │ ✅     555€ →     4838€ │   80268€
  49 │ 02-20      │ ❌    2308€ →    13846€ │ ❌     353€ →     4937€ │ ❌    1149€ →    16079€ │ ❌     323€ →     4515€ │   80268€
  50 │ 02-21      │ ✅    4615€ →    20335€ │ ✅     705€ →     5928€ │ ✅    2297€ →    19520€ │ ✅     645€ →     5482€ │   80268€
  51 │ 02-21      │ ✅    2905€ →    24419€ │ ✅     395€ →     6484€ │ ✅    1301€ →    21350€ │ ✅     365€ →     5995€ │   80268€
  52 │ 02-21      │ ✅    3488€ →    30396€ │ ✅     432€ →     7224€ │ ✅    1423€ →    23344€ │ ✅     400€ →     6555€ │   80268€
  53 │ 02-22      │ ✅    4342€ →    20235€ 💰 │ ✅     482€ →     7908€ │ ❌    1556€ →    21788€ │ ❌     437€ →     6118€ │  100675€
  54 │ 02-22      │ ✅    2891€ →    25149€ │ ✅     527€ →     8804€ │ ❌    3113€ →    18675€ │ ❌     874€ →     5244€ │  100675€
  55 │ 02-22      │ ❌    3593€ →    21556€ │ ❌     587€ →     8217€ │ ✅    6225€ →    23030€ 💰 │ ✅    1748€ →     7704€ │  114651€
  56 │ 02-24      │ ✅    7185€ →    32577€ │ ✅    1174€ →    10018€ │ ✅    1535€ →    25351€ │ ✅     514€ →     8481€ │  114651€
  57 │ 02-25      │ ✅    4654€ →    40265€ │ ✅     668€ →    11121€ │ ✅    1690€ →    28256€ │ ✅     565€ →     9452€ │  114651€
  58 │ 02-26      │ ✅    5752€ →    28875€ 💰 │ ✅     741€ →    12306€ │ ❌    1884€ →    26372€ │ ❌     630€ →     8822€ │  143875€
  59 │ 02-27      │ ✅    4125€ →    34696€ │ ✅     820€ →    13464€ │ ❌    3767€ →    22605€ │ ❌    1260€ →     7562€ │  143875€
  60 │ 02-27      │ ✅    4957€ →    43313€ │ ✅     898€ →    15024€ │ ✅    7535€ →    33531€ │ ✅    2521€ →    11217€ │  143875€
  61 │ 03-01      │ ✅    6188€ →    53377€ │ ✅    1002€ →    16653€ │ ✅    2235€ →    36687€ │ ✅     748€ →    12273€ │  143875€
  62 │ 03-01      │ ✅    7625€ →    36178€ 💰 │ ✅    1110€ →    18402€ │ ❌    2446€ →    34241€ │ ❌     818€ →    11455€ │  180389€
  63 │ 03-01      │ ✅    5168€ →    44366€ │ ✅    1227€ →    20346€ │ ✅    4892€ →    41215€ │ ✅    1636€ →    13788€ │  180389€
  64 │ 03-08      │ ✅    6338€ →    53825€ │ ✅    1356€ →    22370€ │ ✅    2748€ →    45249€ │ ✅     919€ →    15137€ │  180389€
  65 │ 03-08      │ ✅    7689€ →    66320€ │ ✅    1491€ →    24793€ │ ✅    3017€ →    41510€ 💰 │ ✅    1009€ →    16623€ │  207051€
  66 │ 03-08      │ ❌    9474€ →    56845€ │ ❌    1653€ →    23141€ │ ✅    2767€ →    45391€ │ ✅    1108€ →    18177€ │  207051€
  67 │ 03-09      │ ✅   18948€ →    52096€ 💰 │ ✅    3306€ →    28769€ │ ✅    3026€ →    49666€ │ ✅    1212€ →    19890€ │  259980€
  68 │ 03-10      │ ✅    7442€ →    64418€ │ ✅    1918€ →    31945€ │ ✅    3311€ →    54790€ │ ✅    1326€ →    21941€ │  259980€
  69 │ 03-12      │ ✅    9203€ →    77932€ │ ✅    2130€ →    35072€ │ ✅    3653€ →    60611€ │ ✅    1463€ →    24272€ │  259980€
  70 │ 02-23      │                   —                    │                   —                    │ ✅    4041€ →    66277€ │ ✅    1618€ →    26542€ │  259980€
  71 │ 02-24      │                   —                    │                   —                    │ ❌    4418€ →    61858€ │ ❌    1769€ →    24772€ │  259980€
  72 │ 02-26      │                   —                    │                   —                    │ ❌    8837€ →    53021€ │ ❌    3539€ →    21233€ │  259980€
  73 │ 02-27      │                   —                    │                   —                    │ ✅   17674€ →    77953€ │ ✅    7078€ →    31217€ │  259980€
  74 │ 03-01      │                   —                    │                   —                    │ ✅    5197€ →    60883€ 💰 │ ✅    2081€ →    34218€ │  303915€
  75 │ 03-01      │                   —                    │                   —                    │ ❌    4059€ →    56824€ │ ❌    2281€ →    31937€ │  303915€
  76 │ 03-01      │                   —                    │                   —                    │ ❌    8118€ →    48706€ │ ❌    4562€ →    27374€ │  303915€
  77 │ 03-01      │                   —                    │                   —                    │ ❌   16235€ →    32471€ │ ❌    9125€ →    18250€ │  303915€
  78 │ 03-08      │                   —                    │                   —                    │ ❌   32471€ →        0€ │ ❌   18250€ →        0€ │  303915€
  79 │ 03-08      │                   —                    │                   —                    │ ✅   64942€ →    67559€ 💰 │ ✅       0€ →        0€ │  337293€
  80 │ 03-08      │                   —                    │                   —                    │ ✅    4504€ →    75043€ │ ✅       0€ →        0€ │  337293€
  81 │ 03-08      │                   —                    │                   —                    │ ❌    5003€ →    70040€ │ ❌       0€ →        0€ │  337293€
  82 │ 03-09      │                   —                    │                   —                    │ ❌   10006€ →    60034€ │ ❌       0€ →        0€ │  337293€
  83 │ 03-10      │                   —                    │                   —                    │ ❌   20011€ →    40023€ │ ❌       0€ →        0€ │  337293€
  84 │ 03-12      │                   —                    │                   —                    │ ✅   40023€ →    97731€ │ ✅       0€ →        0€ │  337293€
  85 │ 03-26      │                   —                    │                   —                    │ ✅    6515€ →   108200€ │ ✅       0€ →        0€ │  337293€
