   # │ Jour       │         RAND SAFE(3)         │         RAND NORM(4)         │         SYS SAFE(4)          │         SYS NORM(4)          │      Rés
  17 │ 01-31      │ ✅      64€ →      536€ │ ✅      28€ →      465€ │ ✅      25€ →      415€ │ ✅      31€ →      519€ │    1144€
  18 │ 01-31      │ ✅      77€ →      401€ 💰 │ ✅      31€ →      511€ │ ❌      28€ →      387€ │ ❌      35€ →      484€ │    1503€
  19 │ 01-31      │ ✅      57€ →      486€ │ ✅      34€ →      561€ │ ✅      55€ →      467€ │ ✅      69€ →      584€ │    1503€
  20 │ 02-01      │ ❌      69€ →      416€ │ ❌      37€ →      524€ │ ✅      31€ →      513€ │ ✅      39€ →      641€ │    1503€
  21 │ 02-01      │ ❌     139€ →      278€ │ ❌      75€ →      449€ │ ❌      34€ →      479€ │ ❌      43€ →      598€ │    1503€
  22 │ 02-01      │ ❌     278€ →        0€ │ ❌     150€ →      299€ │ ✅      68€ →      575€ │ ✅      85€ →      719€ │    1503€
  23 │ 02-02      │ ✅     555€ →      505€ 💰 │ ✅     299€ →      798€ │ ❌      38€ →      536€ │ ❌      48€ →      671€ │    2027€
  24 │ 02-04      │ ✅      72€ →      569€ │ ✅      53€ →      845€ │ ❌      77€ →      460€ │ ❌      96€ →      575€ │    2027€
  25 │ 02-05      │ ✅      81€ →      674€ │ ✅      56€ →      918€ │ ✅     153€ →      576€ 💰 │ ✅     192€ →      851€ │    2379€
  26 │ 02-06      │ ❌      96€ →      578€ │ ❌      61€ →      857€ │ ❌      38€ →      537€ │ ❌      57€ →      794€ │    2379€
  27 │ 02-07      │ ✅     193€ →      868€ │ ✅     122€ →     1041€ │ ✅      77€ →      673€ │ ✅     113€ →      995€ │    2379€
  28 │ 02-07      │ ✅     124€ →      685€ 💰 │ ✅      69€ →     1143€ │ ❌      45€ →      628€ │ ❌      66€ →      929€ │    2925€
  29 │ 02-07      │ ❌      98€ →      587€ │ ❌      76€ →     1067€ │ ❌      90€ →      539€ │ ❌     133€ →      796€ │    2925€
  30 │ 02-07      │ ✅     196€ →      880€ │ ✅     152€ →     1295€ │ ✅     180€ →      807€ │ ✅     265€ →     1193€ │    2925€
  31 │ 02-08      │ ❌     126€ →      754€ │ ❌      86€ →     1209€ │ ✅      54€ →      883€ │ ✅      80€ →     1305€ │    2925€
  32 │ 02-08      │ ✅     251€ →      958€ │ ✅     173€ →     1349€ │ ✅      59€ →      965€ │ ✅      87€ →     1427€ │    2925€
  33 │ 02-09      │ ✅     137€ →     1160€ │ ✅      90€ →     1481€ │ ✅      64€ →     1065€ │ ✅      95€ →     1574€ │    2925€
  34 │ 02-10      │ ✅     166€ →      827€ 💰 │ ✅      99€ →     1622€ │ ❌      71€ →      994€ │ ❌     105€ →     1469€ │    3635€
  35 │ 02-11      │ ✅     118€ →     1002€ │ ✅     108€ →     1782€ │ ❌     142€ →      852€ │ ❌     210€ →     1259€ │    3635€
  36 │ 02-12      │ ❌     143€ →      859€ │ ❌     119€ →     1663€ │ ✅     284€ →      981€ 💰 │ ✅     420€ →     1992€ │    4407€
  37 │ 02-13      │ ❌     286€ →      573€ │ ❌     238€ →     1426€ │ ✅      65€ →     1078€ │ ✅     133€ →     2188€ │    4407€
  38 │ 02-14      │ ❌     573€ →        0€ │ ❌     475€ →      950€ │ ✅      72€ →     1185€ │ ✅     146€ →     2405€ │    4407€
  39 │ 02-14      │ ✅    1146€ →     1148€ 💰 │ ✅     950€ →     2329€ │ ✅      79€ →     1299€ │ ✅     160€ →     2637€ │    5241€
  40 │ 02-14      │ ✅     164€ →     1426€ │ ✅     155€ →     2591€ │ ❌      87€ →     1213€ │ ❌     176€ →     2461€ │    5241€
  41 │ 02-15      │ ✅     204€ →     1775€ │ ✅     173€ →     2887€ │ ✅     173€ →     1471€ │ ✅     352€ →     2984€ │    5241€
  42 │ 02-15      │ ✅     254€ →     2146€ │ ✅     192€ →     3169€ │ ✅      98€ →     1612€ │ ✅     199€ →     3270€ │    5241€
  43 │ 02-15      │ ❌     307€ →     1840€ │ ❌     211€ →     2958€ │ ❌     107€ →     1504€ │ ❌     218€ →     3052€ │    5241€
  44 │ 02-16      │ ✅     613€ →     1526€ 💰 │ ✅     423€ →     3784€ │ ✅     215€ →     1809€ │ ✅     436€ →     3672€ │    7131€
  45 │ 02-17      │ ✅     218€ →     1840€ │ ✅     252€ →     4147€ │ ✅     121€ →     1729€ 💰 │ ✅     245€ →     4053€ │    8147€
  46 │ 02-18      │ ❌     263€ →     1577€ │ ❌     276€ →     3870€ │ ✅     115€ →     1905€ │ ✅     270€ →     4464€ │    8147€
  47 │ 02-19      │ ✅     526€ →     2371€ │ ✅     553€ →     4706€ │ ✅     127€ →     2094€ │ ✅     298€ →     4907€ │    8147€
  48 │ 02-20      │ ❌     339€ →     2033€ │ ❌     314€ →     4392€ │ ✅     140€ →     2295€ │ ✅     327€ →     5379€ │    8147€
  49 │ 02-21      │ ✅     678€ →     2985€ │ ✅     627€ →     5274€ │ ✅     153€ →     2529€ │ ✅     359€ →     5928€ │    8147€
  50 │ 02-21      │ ✅     426€ →     2147€ 💰 │ ✅     352€ →     5794€ │ ✅     169€ →     2775€ │ ✅     395€ →     6503€ │   10236€
  51 │ 02-21      │ ✅     307€ →     2606€ │ ✅     386€ →     6371€ │ ❌     185€ →     2590€ │ ❌     434€ →     6070€ │   10236€
  52 │ 02-22      │ ✅     372€ →     3150€ │ ✅     425€ →     6992€ │ ❌     370€ →     2220€ │ ❌     867€ →     5203€ │   10236€
  53 │ 02-22      │ ✅     450€ →     3787€ │ ✅     466€ →     7652€ │ ✅     740€ →     3260€ │ ✅    1734€ →     7641€ │   10236€
  54 │ 02-22      │ ✅     541€ →     2642€ 💰 │ ✅     510€ →     8438€ │ ✅     217€ →     3009€ 💰 │ ✅     509€ →     8354€ │   14544€
  55 │ 02-23      │ ❌     377€ →     2264€ │ ❌     563€ →     7875€ │ ❌     201€ →     2808€ │ ❌     557€ →     7797€ │   14544€
  56 │ 02-24      │ ❌     755€ →     1510€ │ ❌    1125€ →     6750€ │ ✅     401€ →     3389€ │ ✅    1114€ →     9409€ │   14544€
  57 │ 02-25      │ ✅    1510€ →     3879€ │ ✅    2250€ →    10281€ │ ✅     226€ →     3707€ │ ✅     627€ →    10292€ │   14544€
  58 │ 02-26      │ ✅     554€ →     4665€ │ ✅     685€ →    11254€ │ ✅     247€ →     4104€ │ ✅     686€ →    11395€ │   14544€
  59 │ 02-27      │ ✅     666€ →     3634€ 💰 │ ✅     750€ →    12494€ │ ✅     274€ →     4550€ │ ✅     760€ →    12633€ │   17669€
  60 │ 03-01      │ ✅     519€ →     4379€ │ ✅     833€ →    13690€ │ ✅     303€ →     5032€ │ ✅     842€ →    13971€ │   17669€
  61 │ 03-01      │ ✅     626€ →     5392€ │ ✅     913€ →    15167€ │ ✅     335€ →     5541€ │ ✅     931€ →    15386€ │   17669€
  62 │ 03-01      │ ✅     770€ →     6612€ │ ✅    1011€ →    16769€ │ ✅     369€ →     4245€ 💰 │ ✅    1026€ →    16833€ │   20723€
  63 │ 03-08      │ ✅     945€ →     5151€ 💰 │ ✅    1118€ →    18606€ │ ✅     283€ →     4649€ │ ✅    1122€ →    18438€ │   25253€
  64 │ 03-08      │ ✅     736€ →     6346€ │ ✅    1240€ →    20622€ │ ✅     310€ →     5099€ │ ✅    1229€ →    20221€ │   25253€
  65 │ 03-08      │ ❌     907€ →     5440€ │ ❌    1375€ →    19247€ │ ✅     340€ →     5674€ │ ✅    1348€ →    22502€ │   25253€
  66 │ 03-09      │ ✅    1813€ →     8527€ │ ✅    2750€ →    23928€ │ ✅     378€ →     6214€ │ ✅    1500€ →    24644€ │   25253€
  67 │ 03-10      │ ✅    1218€ →    10283€ │ ✅    1595€ →    26229€ │ ✅     414€ →     6800€ │ ✅    1643€ →    26968€ │   25253€
  68 │ 03-12      │ ✅    1469€ →     6609€ 💰 │ ✅    1749€ →    28796€ │ ✅     453€ →     7442€ │ ✅    1798€ →    29512€ │   32543€
  69 │ 02-22      │                   —                    │                   —                    │ ✅     496€ →     8190€ │ ✅    1967€ →    32480€ │   32543€
  70 │ 02-22      │                   —                    │                   —                    │ ✅     546€ →     7563€ 💰 │ ✅    2165€ →    35753€ │   37314€
  71 │ 02-22      │                   —                    │                   —                    │ ✅     504€ →     8366€ │ ✅    2384€ →    39551€ │   37314€
  72 │ 02-24      │                   —                    │                   —                    │ ✅     558€ →     9258€ │ ✅    2637€ →    43767€ │   37314€
  73 │ 02-26      │                   —                    │                   —                    │ ✅     617€ →    10204€ │ ✅    2918€ →    48238€ │   37314€
  74 │ 02-27      │                   —                    │                   —                    │ ✅     680€ →    11160€ │ ✅    3216€ →    52759€ │   37314€
  75 │ 03-01      │                   —                    │                   —                    │ ✅     744€ →    12233€ │ ✅    3517€ →    57831€ │   37314€
  76 │ 03-01      │                   —                    │                   —                    │ ✅     816€ →    13518€ │ ✅    3855€ →    63907€ │   37314€
  77 │ 03-01      │                   —                    │                   —                    │ ❌     901€ →    12617€ │ ❌    4260€ →    59646€ │   37314€
  78 │ 03-01      │                   —                    │                   —                    │ ❌    1802€ →    10814€ │ ❌    8521€ →    51125€ │   37314€
  79 │ 03-08      │                   —                    │                   —                    │ ✅    3605€ →     9300€ 💰 │ ✅   17042€ →    76816€ │   45999€
  80 │ 03-08      │                   —                    │                   —                    │ ✅     620€ →    10205€ │ ✅    5121€ →    84290€ │   45999€
  81 │ 03-08      │                   —                    │                   —                    │ ✅     680€ →    11224€ │ ✅    5619€ →    92708€ │   45999€
  82 │ 03-08      │                   —                    │                   —                    │ ✅     748€ →    12286€ │ ✅    6181€ →   101479€ │   45999€
  83 │ 03-09      │                   —                    │                   —                    │ ✅     819€ →    13648€ │ ✅    6765€ →   112733€ │   45999€
  84 │ 03-10      │                   —                    │                   —                    │ ❌     910€ →    12738€ │ ❌    7516€ →   105217€ │   45999€
  85 │ 03-12      │                   —                    │                   —                    │ ❌    1820€ →    10919€ │ ❌   15031€ →    90186€ │   45999€
  86 │ 03-26      │                   —                    │                   —                    │ ✅    3640€ →    16902€ │ ✅   30062€ →   139609€ │   45999€
