[optimizer] datasets retenus: 60
[optimizer] période: 2026-01-02 -> 2026-03-26
[optimizer] split chrono: train=48 jours | valid=12 jours
[optimizer] trials demandés: 5000
[optimizer] Recherche focalisée : 2499 essais autour de 10 top profils + 2500 aléatoires
[optimizer] jobs parallèles: 6
/usr/local/Cellar/python@3.11/3.11.14_1/Frameworks/Python.framework/Versions/3.11/lib/python3.11/multiprocessing/resource_tracker.py:254: UserWarning: resource_tracker: There appear to be 5 leaked semaphore objects to clean up at shutdown
  warnings.warn('resource_tracker: There appear to be %d '
ne) | best=132.9243 | 1.4min écoulées | ETA ~23.3h
[optimizer] 199/5000 | best=177.2074 | 42.7min écoulées | ETA ~17.2h
[optimizer] 200/5000 | best=177.2074 | 43.0min écoulées | ETA ~17.2h
[optimizer] checkpoint sauvegardé (200 trials)
[optimizer] 201/5000 | best=177.2074 | 43.3min écoulées | ETA ~17.2h
[optimizer] 202/5000 | best=177.2074 | 43.4min écoulées | ETA ~17.2h
[optimizer] 203/5000 | best=177.2074 | 43.6min écoulées | ETA ~17.2h
[optimizer] 204/5000 | best=177.2074 | 43.7min écoulées | ETA ~17.1h
[optimizer] 205/5000 | best=177.2074 | 44.1min écoulées | ETA ~17.2h
[optimizer] 206/5000 | best=177.2074 | 44.2min écoulées | ETA ~17.1h
[optimizer] 207/5000 | best=177.2074 | 44.9min écoulées | ETA ~17.3h
[optimizer] 208/5000 | best=177.2074 | 45.1min écoulées | ETA ~17.3h
[optimizer] 209/5000 | best=177.2074 | 45.1min écoulées | ETA ~17.2h
[optimizer] 210/5000 | best=177.2074 | 45.1min écoulées | ETA ~17.2h
[optimizer] 211/5000 | best=177.2074 | 45.2min écoulées | ETA ~17.1h
[optimizer] 212/5000 | best=177.2074 | 45.3min écoulées | ETA ~17.0h
[optimizer] 213/5000 | best=177.2074 | 45.8min écoulées | ETA ~17.2h
[optimizer] 214/5000 | best=177.2074 | 46.7min écoulées | ETA ~17.4h
[optimizer] 215/5000 | best=177.2074 | 46.7min écoulées | ETA ~17.3h
[optimizer] 216/5000 | best=177.2074 | 46.9min écoulées | ETA ~17.3h
[optimizer] 217/5000 | best=177.2074 | 47.0min écoulées | ETA ~17.3h
[optimizer] 218/5000 | best=177.2074 | 47.0min écoulées | ETA ~17.2h
[optimizer] 219/5000 | best=177.2074 | 47.6min écoulées | ETA ~17.3h
[optimizer] 220/5000 | best=177.2074 | 47.6min écoulées | ETA ~17.2h
[optimizer] 221/5000 | best=177.2074 | 47.8min écoulées | ETA ~17.2h
[optimizer] 222/5000 | best=177.2074 | 47.9min écoulées | ETA ~17.2h
[optimizer] 223/5000 | best=177.2074 | 48.3min écoulées | ETA ~17.2h
[optimizer] 224/5000 | best=177.2074 | 48.5min écoulées | ETA ~17.2h
[optimizer] 225/5000 | best=177.2074 | 48.5min écoulées | ETA ~17.2h
[optimizer] 226/5000 | best=178.3015 | 48.6min écoulées | ETA ~17.1h
[optimizer] 227/5000 | best=178.3015 | 48.8min écoulées | ETA ~17.1h
[optimizer] 228/5000 | best=178.3015 | 48.9min écoulées | ETA ~17.1h
[optimizer] 229/5000 | best=178.3015 | 49.4min écoulées | ETA ~17.1h
[optimizer] 230/5000 | best=178.3015 | 49.5min écoulées | ETA ~17.1h
[optimizer] 231/5000 | best=178.3015 | 49.7min écoulées | ETA ~17.1h
[optimizer] 232/5000 | best=178.3015 | 49.8min écoulées | ETA ~17.1h
[optimizer] 233/5000 | best=178.3015 | 49.8min écoulées | ETA ~17.0h
[optimizer] 234/5000 | best=178.3015 | 50.5min écoulées | ETA ~17.1h
[optimizer] 235/5000 | best=178.3015 | 50.7min écoulées | ETA ~17.1h
[optimizer] 236/5000 | best=178.3015 | 51.2min écoulées | ETA ~17.2h
[optimizer] 237/5000 | best=178.3015 | 51.3min écoulées | ETA ~17.2h
[optimizer] 238/5000 | best=178.3015 | 51.6min écoulées | ETA ~17.2h
[optimizer] 239/5000 | best=178.3015 | 51.8min écoulées | ETA ~17.2h
[optimizer] 240/5000 | best=178.3015 | 66.3min écoulées | ETA ~21.9h
[optimizer] 241/5000 | best=178.3015 | 66.6min écoulées | ETA ~21.9h
[optimizer] 242/5000 | best=178.3015 | 66.6min écoulées | ETA ~21.8h
[optimizer] 243/5000 | best=178.3015 | 67.3min écoulées | ETA ~21.9h
[optimizer] 244/5000 | best=178.3015 | 67.3min écoulées | ETA ~21.9h
[optimizer] 245/5000 | best=178.3015 | 67.4min écoulées | ETA ~21.8h
[optimizer] 246/5000 | best=178.3015 | 67.5min écoulées | ETA ~21.8h
[optimizer] 247/5000 | best=178.3015 | 67.6min écoulées | ETA ~21.7h
[optimizer] 248/5000 | best=178.3015 | 68.3min écoulées | ETA ~21.8h
[optimizer] 249/5000 | best=178.3015 | 68.4min écoulées | ETA ~21.7h
[optimizer] 250/5000 | best=178.3015 | 68.4min écoulées | ETA ~21.7h
[optimizer] 251/5000 | best=178.3015 | 68.6min écoulées | ETA ~21.6h
[optimizer] 252/5000 | best=178.3015 | 68.6min écoulées | ETA ~21.5h
[optimizer] 253/5000 | best=178.3015 | 68.7min écoulées | ETA ~21.5h
[optimizer] 254/5000 | best=178.3015 | 69.0min écoulées | ETA ~21.5h
[optimizer] 255/5000 | best=178.3015 | 69.8min écoulées | ETA ~21.6h
[optimizer] 256/5000 | best=178.3015 | 69.8min écoulées | ETA ~21.6h
[optimizer] 257/5000 | best=178.3015 | 69.8min écoulées | ETA ~21.5h
[optimizer] 258/5000 | best=178.3015 | 70.1min écoulées | ETA ~21.5h
[optimizer] 259/5000 | best=178.3015 | 70.1min écoulées | ETA ~21.4h
[optimizer] 260/5000 | best=178.3015 | 70.4min écoulées | ETA ~21.4h
[optimizer] 261/5000 | best=178.3015 | 70.4min écoulées | ETA ~21.3h
[optimizer] 262/5000 | best=178.3015 | 70.9min écoulées | ETA ~21.4h
[optimizer] 263/5000 | best=178.3015 | 71.1min écoulées | ETA ~21.3h
[optimizer] 264/5000 | best=178.3015 | 71.6min écoulées | ETA ~21.4h
[optimizer] 265/5000 | best=178.3015 | 71.6min écoulées | ETA ~21.3h
[optimizer] 266/5000 | best=178.3015 | 71.6min écoulées | ETA ~21.3h
[optimizer] 267/5000 | best=178.3015 | 71.7min écoulées | ETA ~21.2h
[optimizer] 268/5000 | best=178.3015 | 71.8min écoulées | ETA ~21.1h
[optimizer] 269/5000 | best=178.3015 | 72.7min écoulées | ETA ~21.3h
[optimizer] 270/5000 | best=178.3015 | 72.8min écoulées | ETA ~21.3h
[optimizer] 271/5000 | best=178.3015 | 73.1min écoulées | ETA ~21.3h
[optimizer] 272/5000 | best=178.3015 | 73.2min écoulées | ETA ~21.2h
[optimizer] 273/5000 | best=178.3015 | 73.2min écoulées | ETA ~21.1h
[optimizer] 274/5000 | best=178.3015 | 73.3min écoulées | ETA ~21.1h
[optimizer] 275/5000 | best=178.3015 | 73.7min écoulées | ETA ~21.1h
[optimizer] 276/5000 | best=178.3015 | 74.3min écoulées | ETA ~21.2h
[optimizer] 277/5000 | best=178.3015 | 74.3min écoulées | ETA ~21.1h
[optimizer] 278/5000 | best=178.3015 | 74.4min écoulées | ETA ~21.1h
[optimizer] 279/5000 | best=178.3015 | 74.8min écoulées | ETA ~21.1h
[optimizer] 280/5000 | best=178.3015 | 75.3min écoulées | ETA ~21.2h
[optimizer] 281/5000 | best=178.3015 | 75.6min écoulées | ETA ~21.2h
[optimizer] 282/5000 | best=178.3015 | 75.8min écoulées | ETA ~21.1h
[optimizer] 283/5000 | best=178.3015 | 75.8min écoulées | ETA ~21.1h
[optimizer] 284/5000 | best=178.3015 | 75.9min écoulées | ETA ~21.0h
[optimizer] 285/5000 | best=178.3015 | 76.0min écoulées | ETA ~21.0h
[optimizer] 286/5000 | best=178.3015 | 76.1min écoulées | ETA ~20.9h
[optimizer] 287/5000 | best=178.3015 | 76.5min écoulées | ETA ~20.9h
[optimizer] 288/5000 | best=178.3015 | 76.5min écoulées | ETA ~20.9h
[optimizer] 289/5000 | best=178.3015 | 76.9min écoulées | ETA ~20.9h
[optimizer] 290/5000 | best=178.3015 | 77.4min écoulées | ETA ~21.0h
[optimizer] 291/5000 | best=178.3015 | 77.7min écoulées | ETA ~21.0h
[optimizer] 292/5000 | best=178.3015 | 78.1min écoulées | ETA ~21.0h
[optimizer] 293/5000 | best=178.3015 | 78.2min écoulées | ETA ~20.9h
[optimizer] 294/5000 | best=178.3015 | 78.2min écoulées | ETA ~20.9h
[optimizer] 295/5000 | best=178.3015 | 78.3min écoulées | ETA ~20.8h
[optimizer] 296/5000 | best=178.3015 | 78.5min écoulées | ETA ~20.8h
[optimizer] 297/5000 | best=178.3015 | 78.7min écoulées | ETA ~20.8h
[optimizer] 298/5000 | best=178.3015 | 79.3min écoulées | ETA ~20.8h
[optimizer] 299/5000 | best=178.3015 | 79.4min écoulées | ETA ~20.8h
[optimizer] 300/5000 | best=178.3015 | 79.6min écoulées | ETA ~20.8h
[optimizer] checkpoint sauvegardé (300 trials)
[optimizer] 301/5000 | best=178.3015 | 79.7min écoulées | ETA ~20.7h
[optimizer] 302/5000 | best=178.3015 | 79.9min écoulées | ETA ~20.7h
[optimizer] 303/5000 | best=178.3015 | 80.2min écoulées | ETA ~20.7h
[optimizer] 304/5000 | best=178.3015 | 80.4min écoulées | ETA ~20.7h
[optimizer] 305/5000 | best=178.3015 | 81.1min écoulées | ETA ~20.8h
[optimizer] 306/5000 | best=178.3015 | 81.3min écoulées | ETA ~20.8h
[optimizer] 307/5000 | best=178.3015 | 81.3min écoulées | ETA ~20.7h
[optimizer] 308/5000 | best=178.3015 | 81.9min écoulées | ETA ~20.8h
[optimizer] 309/5000 | best=178.3015 | 82.0min écoulées | ETA ~20.7h
[optimizer] 310/5000 | best=178.3015 | 82.0min écoulées | ETA ~20.7h
[optimizer] 311/5000 | best=178.3015 | 82.0min écoulées | ETA ~20.6h
[optimizer] 312/5000 | best=178.3015 | 82.2min écoulées | ETA ~20.6h
[optimizer] 313/5000 | best=178.3015 | 83.0min écoulées | ETA ~20.7h
[optimizer] 314/5000 | best=178.3015 | 83.5min écoulées | ETA ~20.8h
[optimizer] 315/5000 | best=178.3015 | 83.5min écoulées | ETA ~20.7h
[optimizer] 316/5000 | best=178.3015 | 83.7min écoulées | ETA ~20.7h
[optimizer] 317/5000 | best=178.3015 | 83.7min écoulées | ETA ~20.6h
[optimizer] 318/5000 | best=178.3015 | 83.8min écoulées | ETA ~20.6h
[optimizer] 319/5000 | best=178.3015 | 84.5min écoulées | ETA ~20.7h
[optimizer] 320/5000 | best=178.3015 | 84.7min écoulées | ETA ~20.6h
[optimizer] 321/5000 | best=178.3015 | 84.8min écoulées | ETA ~20.6h
