variant_idx,p_target_odd,p_min_accept_odd,p_random_league_bet_min_winrate,p_rich_day_match_count,p_day_max_windows_rich,p_day_max_windows_poor,p_min_side_matches_for_split,p_split_gap_weight,p_league_bet_require_data,p_topk_size,p_topk_uniform_draw,p_prefer_3legs_delta,p_random_build_source,p_random_select_source,p_search_budget_ms_system,p_search_budget_ms_random,wr_mean,wr_std,n_mean,worst_streak,nm_mult_mean,nm_mult_min,nm_ruin,nm_streak,safe_mult_mean,safe_mult_min,safe_mult_max,safe_mult_std,safe_ruin,safe_streak,safe_dbl,score
385,3.2,2.0,0.65,10,4,1,4,0.2,False,10,True,0.08,TEAM,TEAM,5,5,0.4374,0.0545,20.61,2.97,6.5976,0.0,7.0,2.97,4.6427,0.0,7.721,2.0227,1.0,2.97,1.81,2.4426
403,3.2,2.0,0.65,12,4,1,4,0.2,False,10,True,0.08,TEAM,TEAM,5,5,0.4004,0.0636,20.55,3.35,5.7004,0.0,24.0,3.31,4.6344,0.0,8.158,2.1912,3.0,3.32,1.83,2.4073
167,3.0,1.8,0.65,10,4,1,3,0.3,False,10,True,0.08,TEAM,TEAM,5,5,0.4896,0.0674,21.42,2.94,6.6856,0.0,5.0,2.94,4.6341,0.0,7.436,2.0879,1.0,2.94,1.85,2.4539
404,3.2,2.0,0.65,12,4,1,4,0.3,False,10,True,0.08,TEAM,TEAM,5,5,0.4098,0.0595,20.45,3.31,5.6367,0.0,16.0,3.3,4.6291,0.0,7.7,2.1608,0.0,3.28,1.84,2.4375
374,3.2,1.8,0.65,15,4,2,3,0.3,False,10,True,0.08,TEAM,TEAM,5,5,0.4623,0.0524,21.38,3.07,6.8088,0.0,4.0,3.07,4.6237,0.0,8.642,2.2439,0.0,3.07,1.81,2.4505
338,3.2,1.8,0.65,10,4,2,3,0.3,False,10,True,0.08,TEAM,TEAM,5,5,0.4771,0.0611,21.25,2.99,6.6938,0.0,8.0,2.99,4.6137,0.0,7.541,2.1085,2.0,2.99,1.84,2.43
305,3.0,2.2,0.65,12,4,2,4,0.3,False,10,True,0.08,TEAM,TEAM,5,5,0.4539,0.0517,20.57,2.95,6.2802,0.0,2.0,2.95,4.6101,0.0,7.688,1.6964,0.0,2.95,1.83,2.4412
195,3.0,1.8,0.65,12,4,2,4,0.1,False,10,True,0.08,TEAM,TEAM,5,5,0.4877,0.0683,20.48,2.94,6.5747,0.0,3.0,2.94,4.6058,0.0,7.883,1.9395,1.0,2.94,1.84,2.4392
357,3.2,1.8,0.65,12,4,2,4,0.1,False,10,True,0.08,TEAM,TEAM,5,5,0.4563,0.0561,20.24,3,6.4567,0.0,12.0,3,4.6018,0.0,7.423,1.91,1.0,3,1.83,2.4278
30,2.8,1.8,0.65,12,4,2,3,0.1,False,10,True,0.08,TEAM,TEAM,5,5,0.5024,0.053,21.5,2.97,6.401,0.0,7.0,2.97,4.6005,0.0,7.215,1.7802,0.0,2.97,1.82,2.451
219,3.0,2.0,0.65,10,4,1,3,0.1,False,10,True,0.08,TEAM,TEAM,5,5,0.4996,0.057,21.2,2.98,6.4223,0.0,6.0,2.98,4.6004,0.0,7.462,1.8067,0.0,2.98,1.84,2.4501
383,3.2,2.0,0.65,10,4,1,3,0.3,False,10,True,0.08,TEAM,TEAM,5,5,0.4709,0.0644,21.15,2.94,6.5834,0.0,8.0,2.94,4.599,0.0,7.54,2.0227,2.0,2.94,1.85,2.4208
464,3.2,2.2,0.65,12,4,2,3,0.3,False,10,True,0.08,TEAM,TEAM,5,5,0.4528,0.0575,20.35,2.87,6.5661,0.0,4.0,2.87,4.5974,0.0,7.293,1.8649,0.0,2.87,1.8,2.4345
116,2.8,2.2,0.65,10,4,1,4,0.3,False,10,True,0.08,TEAM,TEAM,5,5,0.4692,0.0614,20.82,2.83,6.0469,0.0,3.0,2.83,4.5957,0.0,6.55,1.4826,1.0,2.83,1.87,2.4286
302,3.0,2.2,0.65,12,4,2,3,0.3,False,10,True,0.08,TEAM,TEAM,5,5,0.4602,0.0551,20.91,2.94,6.291,0.0,4.0,2.94,4.5919,0.0,7.999,1.8796,0.0,2.94,1.86,2.434
264,3.0,2.0,0.65,15,4,2,3,0.1,False,10,True,0.08,TEAM,TEAM,5,5,0.4988,0.062,21.26,3.01,6.4658,0.0,3.0,3.01,4.5913,0.0,7.29,1.9452,0.0,3.01,1.85,2.4453
