variant_idx,p_target_odd,p_min_accept_odd,p_random_league_bet_min_winrate,p_rich_day_match_count,p_day_max_windows_rich,p_day_max_windows_poor,p_min_side_matches_for_split,p_split_gap_weight,p_league_bet_require_data,p_topk_size,p_topk_uniform_draw,p_prefer_3legs_delta,p_random_build_source,p_random_select_source,p_search_budget_ms_system,p_search_budget_ms_random,O15R_wr_mean,O15R_wr_std,O15R_n_mean,O15R_worst_streak,O15R_best_streak,O15R_nm_mult_mean,O15R_nm_mult_min,O15R_nm_ruin,O15R_nm_streak,O15R_safe_mult_mean,O15R_safe_mult_min,O15R_safe_ruin,O15R_safe_streak,O15R_safe_dbl,O15R_score,total_safe_mult,total_n
17921,2.6,1.8,0.55,15,4,2,3,0.8,False,10,True,0.08,TEAM,TEAM,5,5,0.4949,0.0528,26.9333,3.9,2.7667,2.9354,0.0,36.7,3.5333,3.7683,1.265,0.0,3.5,1.8333,2.0326,3.7683,26
17597,2.6,1.8,None,15,4,2,3,0.8,False,10,True,0.08,TEAM,TEAM,5,5,0.5033,0.0542,27.1,3.6333,2.5667,3.1243,0.0,33.3,3.5,3.7383,0.0,3.3,3.4667,1.8667,1.9871,3.7383,27
18893,2.6,2.0,0.55,15,4,2,3,0.8,False,10,True,0.08,TEAM,TEAM,5,5,0.4853,0.0497,26.1667,3.9333,2.5667,2.4797,0.0,43.3,3.6333,3.7225,0.0,3.3,3.7667,1.8,1.9738,3.7225,26
19719,2.6,1.4,0.7,12,3,1,7,0.4,False,5,False,0.1,HYBRID,TEAM,5,5,0.5189,0.0513,22.4333,2.8333,2.7,3.7393,0.0,13.3,2.7,3.7196,2.239,0.0,2.8,1.7667,2.0155,3.7196,22
14141,2.4,1.8,0.6,12,4,2,3,0.8,False,10,True,0.08,TEAM,TEAM,5,5,0.5513,0.052,27.3,2.9667,3.1,4.0087,0.0,10.0,2.9667,3.7175,1.017,0.0,2.9667,1.8333,2.0241,3.7175,27
12836,2.4,1.6,0.5,12,4,1,3,0.8,False,10,True,0.08,TEAM,TEAM,5,5,0.563,0.0516,28.9,2.5333,3.3333,3.9889,0.0,6.7,2.5333,3.7117,1.43,0.0,2.5333,1.7333,2.0248,3.7117,28
16562,2.6,1.6,None,12,4,1,3,0.8,False,10,True,0.08,TEAM,TEAM,5,5,0.5306,0.0532,28.7333,3.0333,2.9667,3.9778,0.0,23.3,2.9,3.691,1.135,0.0,2.9333,1.7,2.0047,3.691,28
18506,2.6,2.0,None,12,4,1,3,0.8,False,10,True,0.08,TEAM,TEAM,5,5,0.4631,0.0602,26.5667,3.8,2.6333,3.4505,0.0,30.0,3.4333,3.6501,1.138,0.0,3.4667,1.7,1.964,3.6501,26
19000,2.6,2.0,0.6,12,4,2,3,0.6,False,10,True,0.08,TEAM,TEAM,5,5,0.4668,0.055,26.4667,3.6667,2.3,3.1657,0.0,36.7,3.4333,3.6476,1.025,0.0,3.5,1.7667,1.9638,3.6476,26
9442,2.2,1.6,0.65,12,4,2,3,0.6,False,10,True,0.08,TEAM,TEAM,5,5,0.5446,0.0426,29.5,2.8333,4.1,4.0935,0.0,6.7,2.8333,3.6472,0.0,3.3,2.8333,1.7,1.954,3.6472,29
19449,2.6,1.8,0.65,12,4,1,7,0.8,True,20,False,0.0,TEAM,TEAM,5,5,0.5899,0.0857,19.0333,2.2333,4.8,4.2602,0.0,10.0,2.2333,3.6381,0.0,10.0,2.2333,1.7,1.896,3.6381,19
9011,2.2,1.6,0.5,15,4,2,3,0.8,False,10,True,0.08,TEAM,TEAM,5,5,0.6175,0.0432,29.6333,2.9667,4.8667,3.6332,0.0,13.3,2.8667,3.6232,1.012,0.0,2.8667,1.8,1.9969,3.6232,29
8470,2.2,1.4,0.65,12,4,2,3,0.6,False,10,True,0.08,TEAM,TEAM,5,5,0.54,0.0564,29.5667,3.0667,3.9333,3.8914,0.0,13.3,2.9333,3.615,0.0,3.3,2.9667,1.6,1.9365,3.615,29
19529,2.0,1.8,0.5,12,4,1,3,0.4,True,5,False,0.0,LEAGUE,TEAM,5,5,0.6087,0.0474,30.8333,2.3667,4.5667,3.9517,0.0,6.7,2.3667,3.612,1.002,0.0,2.3333,1.8,1.9886,3.612,30
18623,2.6,2.0,None,18,4,2,3,0.8,False,10,True,0.08,TEAM,TEAM,5,5,0.4761,0.0753,25.9333,3.8667,2.6333,3.2705,0.0,53.3,3.5,3.6017,0.0,3.3,3.6,1.6667,1.9107,3.6017,25
19659,2.2,2.0,0.6,15,4,1,7,0.4,True,20,False,0.0,HYBRID,TEAM,5,5,0.5725,0.0734,23.5333,2.7667,4.6667,4.1012,0.0,10.0,2.7667,3.5864,0.0,3.3,2.7667,1.7,1.932,3.5864,23
19055,2.6,2.0,0.6,15,4,2,3,0.8,False,10,True,0.08,TEAM,TEAM,5,5,0.4723,0.0634,26.3,4.0333,2.4333,2.5766,0.0,50.0,3.7333,3.5853,0.0,3.3,3.7,1.6667,1.9013,3.5853,26
13277,2.4,1.6,0.6,18,4,2,3,0.8,False,10,True,0.08,TEAM,TEAM,5,5,0.5904,0.0451,28.7333,2.8667,3.6667,3.3783,0.0,6.7,2.8333,3.5821,2.103,0.0,2.8667,1.7667,1.9682,3.5821,28
18659,2.6,2.0,0.5,12,3,2,3,0.8,False,10,True,0.08,TEAM,TEAM,5,5,0.5005,0.0802,22,3.3,2.3667,3.4307,0.0,23.3,3.1,3.5716,1.092,0.0,3.2,1.6667,1.936,3.5716,22
