variant_idx,p_target_odd,p_min_accept_odd,p_random_league_bet_min_winrate,p_rich_day_match_count,p_day_max_windows_rich,p_day_max_windows_poor,p_min_side_matches_for_split,p_split_gap_weight,p_league_bet_require_data,p_topk_size,p_topk_uniform_draw,p_prefer_3legs_delta,p_random_build_source,p_random_select_source,p_search_budget_ms_system,p_search_budget_ms_random,wr_mean,wr_std,n_mean,worst_streak,nm_mult_mean,nm_mult_min,nm_ruin,nm_streak,safe_mult_mean,safe_mult_min,safe_mult_max,safe_mult_std,safe_ruin,safe_streak,safe_dbl,score
162,2.4,1.8,0.65,12,4,1,3,0.3,False,10,True,0.08,TEAM,TEAM,5,5,0.4992,0.0602,22.15,3,4.2665,0.0,5.0,3,3.7848,0.0,5.372,1.1874,0.0,3,1.7,2.0422
495,2.4,2.0,0.65,12,4,2,3,0.3,False,10,True,0.08,TEAM,TEAM,5,5,0.5346,0.0683,22.45,2.89,4.4977,0.0,6.0,2.89,3.7817,0.0,5.376,1.5092,0.0,2.89,1.64,2.0512
1143,2.6,1.8,0.65,12,4,2,3,0.3,False,10,True,0.08,TEAM,TEAM,5,5,0.5122,0.0686,22.03,2.96,4.9951,0.0,7.0,2.96,3.7698,0.0,7.072,1.9893,2.0,2.96,1.62,2.0186
2757,2.8,2.2,0.65,12,4,1,5,0.3,False,10,True,0.08,TEAM,TEAM,5,5,0.4042,0.0801,19.3,3.75,3.4849,0.0,33.0,3.53,3.754,0.0,6.686,1.738,2.0,3.57,1.62,1.9783
1756,2.6,2.2,0.65,10,4,2,3,0.4,False,10,True,0.08,TEAM,TEAM,5,5,0.4468,0.0819,20.6,3.42,3.7179,0.0,25.0,3.23,3.7485,0.0,5.995,1.3791,2.0,3.2,1.6,1.9883
1098,2.6,1.8,0.65,10,4,1,3,0.3,False,10,True,0.08,TEAM,TEAM,5,5,0.5018,0.0693,22.16,3.08,4.7224,0.0,8.0,3.08,3.7421,0.0,6.964,2.0271,2.0,3.08,1.57,2.0016
2152,2.8,1.8,0.65,15,4,2,3,0.4,False,10,True,0.08,TEAM,TEAM,5,5,0.4775,0.0783,21.41,3.53,3.8175,0.0,33.0,3.36,3.73,0.0,7.219,1.8322,5.0,3.34,1.49,1.9582
2080,2.8,1.8,0.65,10,4,2,3,0.4,False,10,True,0.08,TEAM,TEAM,5,5,0.4792,0.0644,21.42,3.4,4.1628,0.0,24.0,3.25,3.7204,0.0,6.577,1.9208,6.0,3.27,1.49,1.944
459,2.4,2.0,0.65,10,4,2,3,0.3,False,10,True,0.08,TEAM,TEAM,5,5,0.5335,0.0637,22.31,2.9,4.4455,0.0,8.0,2.9,3.7176,0.0,5.712,1.4941,1.0,2.9,1.69,2.0089
774,2.4,2.2,0.65,10,4,1,3,0.3,False,10,True,0.08,TEAM,TEAM,5,5,0.4963,0.0564,21.75,2.9,4.2932,0.0,4.0,2.9,3.7157,0.0,6.435,1.443,0.0,2.9,1.67,2.0067
1170,2.6,1.8,0.65,15,4,1,3,0.3,False,10,True,0.08,TEAM,TEAM,5,5,0.4759,0.0711,21.76,2.93,4.5418,0.0,10.0,2.93,3.7077,0.0,6.722,1.7202,3.0,2.93,1.6,1.9666
135,2.4,1.8,0.65,10,4,2,3,0.3,False,10,True,0.08,TEAM,TEAM,5,5,0.5225,0.0628,22.57,2.87,4.4774,0.0,4.0,2.87,3.7022,0.0,5.318,1.5326,2.0,2.87,1.62,1.9878
2766,2.8,2.2,0.65,12,4,2,5,0.3,False,10,True,0.08,TEAM,TEAM,5,5,0.4276,0.0694,19.29,3.25,4.1138,0.0,17.0,3.23,3.6984,0.0,6.41,1.8336,2.0,3.21,1.61,1.9575
1134,2.6,1.8,0.65,12,4,1,3,0.3,False,10,True,0.08,TEAM,TEAM,5,5,0.4785,0.0667,21.69,3.01,4.3693,0.0,9.0,3.01,3.6959,0.0,5.764,1.7102,2.0,3.01,1.59,1.9715
207,2.4,1.8,0.65,15,4,2,3,0.3,False,10,True,0.08,TEAM,TEAM,5,5,0.525,0.0662,22.49,2.87,4.5265,0.0,5.0,2.87,3.6957,0.0,5.474,1.559,0.0,2.87,1.64,2.0053
2440,2.8,2.0,0.65,12,4,2,3,0.4,False,10,True,0.08,TEAM,TEAM,5,5,0.4506,0.0742,20.6,3.78,3.2034,0.0,37.0,3.49,3.6858,0.0,7.355,1.6716,4.0,3.54,1.51,1.9381
2106,2.8,1.8,0.65,12,4,1,3,0.3,False,10,True,0.08,TEAM,TEAM,5,5,0.4436,0.0599,21.65,3.22,4.6345,0.0,12.0,3.22,3.679,0.0,6.719,2.036,1.0,3.22,1.55,1.9626
450,2.4,2.0,0.65,10,4,1,3,0.3,False,10,True,0.08,TEAM,TEAM,5,5,0.5295,0.0655,22.6,2.93,4.36,0.0,5.0,2.93,3.676,0.0,6.115,1.6065,2.0,2.93,1.62,1.9768
1458,2.6,2.0,0.65,12,4,1,3,0.3,False,10,True,0.08,TEAM,TEAM,5,5,0.4684,0.077,21.71,3.05,4.4159,0.0,5.0,3.05,3.6456,0.0,6.105,1.7345,1.0,3.05,1.56,1.9533
522,2.4,2.0,0.65,15,4,1,3,0.3,False,10,True,0.08,TEAM,TEAM,5,5,0.4954,0.0613,22.46,2.91,4.2603,0.0,9.0,2.91,3.6403,0.0,5.427,1.334,0.0,2.91,1.7,1.9688
2116,2.8,1.8,0.65,12,4,2,3,0.4,False,10,True,0.08,TEAM,TEAM,5,5,0.4677,0.0586,21.4,3.58,3.8361,0.0,27.0,3.41,3.6402,0.0,7.356,1.9173,2.0,3.38,1.44,1.9404
1782,2.6,2.2,0.65,12,4,1,3,0.3,False,10,True,0.08,TEAM,TEAM,5,5,0.4462,0.0705,21.08,3.25,4.0712,0.0,18.0,3.22,3.6378,0.0,6.247,1.8674,3.0,3.23,1.54,1.9228
531,2.4,2.0,0.65,15,4,2,3,0.3,False,10,True,0.08,TEAM,TEAM,5,5,0.5244,0.0652,22.51,2.95,4.4469,0.0,12.0,2.95,3.6376,0.0,5.691,1.6694,5.0,2.95,1.61,1.9261
846,2.4,2.2,0.65,15,4,1,3,0.3,False,10,True,0.08,TEAM,TEAM,5,5,0.4698,0.0682,21.85,3.14,3.8632,0.0,15.0,3.14,3.6333,0.0,5.91,1.4597,2.0,3.13,1.61,1.9376
2802,2.8,2.2,0.65,15,4,2,5,0.3,False,10,True,0.08,TEAM,TEAM,5,5,0.4404,0.0738,19.52,3.19,4.1709,0.0,12.0,3.19,3.6258,0.0,6.676,1.9984,1.0,3.18,1.56,1.935
208,2.4,1.8,0.65,15,4,2,3,0.4,False,10,True,0.08,TEAM,TEAM,5,5,0.5074,0.0668,22.38,3.04,3.9221,0.0,14.0,2.94,3.621,0.0,5.349,1.292,2.0,2.94,1.58,1.9427
1108,2.6,1.8,0.65,10,4,2,3,0.4,False,10,True,0.08,TEAM,TEAM,5,5,0.4877,0.0762,21.97,3.49,3.7612,0.0,25.0,3.3,3.603,0.0,6.374,1.7708,4.0,3.33,1.47,1.9078
2793,2.8,2.2,0.65,15,4,1,5,0.3,False,10,True,0.08,TEAM,TEAM,5,5,0.3961,0.0674,19.22,3.58,3.577,0.0,32.0,3.47,3.5874,0.0,7.197,1.932,3.0,3.5,1.48,1.8825
1144,2.6,1.8,0.65,12,4,2,3,0.4,False,10,True,0.08,TEAM,TEAM,5,5,0.4837,0.0674,22.03,3.46,3.776,0.0,25.0,3.31,3.5836,0.0,6.026,1.6343,6.0,3.3,1.52,1.8769
1423,2.6,2.0,0.65,10,4,1,3,0.4,False,10,True,0.08,TEAM,TEAM,5,5,0.4684,0.0675,20.97,3.43,3.422,0.0,31.0,3.26,3.5811,0.0,6.633,1.4052,2.0,3.26,1.6,1.9111
2107,2.8,1.8,0.65,12,4,1,3,0.4,False,10,True,0.08,TEAM,TEAM,5,5,0.4498,0.0662,21.75,3.53,3.4708,0.0,27.0,3.35,3.5798,0.0,7.222,1.6613,3.0,3.35,1.43,1.8948
2467,2.8,2.0,0.65,15,4,1,3,0.4,False,10,True,0.08,TEAM,TEAM,5,5,0.4201,0.0722,20.42,3.69,3.3988,0.0,31.0,3.34,3.5675,0.0,6.299,1.5335,4.0,3.36,1.44,1.8698
2476,2.8,2.0,0.65,15,4,2,3,0.4,False,10,True,0.08,TEAM,TEAM,5,5,0.4629,0.0711,20.43,3.41,3.412,0.0,29.0,3.23,3.5666,0.0,6.023,1.6056,2.0,3.24,1.54,1.9022
2721,2.8,2.2,0.65,10,4,1,5,0.3,False,10,True,0.08,TEAM,TEAM,5,5,0.431,0.0719,19.34,3.26,4.1001,0.0,14.0,3.26,3.5412,0.0,7.405,2.0916,3.0,3.26,1.58,1.8699
1794,2.6,2.2,0.65,12,4,2,5,0.3,False,10,True,0.08,TEAM,TEAM,5,5,0.4511,0.0734,19.73,3.15,3.7775,0.0,16.0,3.15,3.5265,0.0,6.751,1.7449,2.0,3.13,1.49,1.8786
2764,2.8,2.2,0.65,12,4,2,3,0.4,False,10,True,0.08,TEAM,TEAM,5,5,0.4093,0.0718,20.02,3.74,3.101,0.0,34.0,3.46,3.5168,0.0,6.793,1.666,4.0,3.46,1.44,1.8412
810,2.4,2.2,0.65,12,4,1,3,0.3,False,10,True,0.08,TEAM,TEAM,5,5,0.4593,0.0768,21.52,3.14,3.6706,0.0,17.0,3.11,3.5165,0.0,5.575,1.5143,2.0,3.11,1.53,1.876
2071,2.8,1.8,0.65,10,4,1,3,0.4,False,10,True,0.08,TEAM,TEAM,5,5,0.4736,0.0689,21.36,3.52,3.5476,0.0,32.0,3.4,3.5152,0.0,6.838,1.9063,5.0,3.4,1.46,1.8497
1749,2.6,2.2,0.65,10,4,1,5,0.3,False,10,True,0.08,TEAM,TEAM,5,5,0.4507,0.0636,19.34,3.21,3.6958,0.0,11.0,3.2,3.5135,0.0,5.604,1.6185,2.0,3.19,1.49,1.872
126,2.4,1.8,0.65,10,4,1,3,0.3,False,10,True,0.08,TEAM,TEAM,5,5,0.5227,0.0597,22.43,2.93,4.1552,0.0,7.0,2.93,3.5065,0.0,5.332,1.7064,0.0,2.93,1.53,1.9101
1099,2.6,1.8,0.65,10,4,1,3,0.4,False,10,True,0.08,TEAM,TEAM,5,5,0.4933,0.066,21.84,3.33,3.6068,0.0,23.0,3.19,3.5027,0.0,5.562,1.6664,6.0,3.19,1.49,1.8393
198,2.4,1.8,0.65,15,4,1,3,0.3,False,10,True,0.08,TEAM,TEAM,5,5,0.4996,0.0686,21.97,2.86,3.9827,0.0,8.0,2.86,3.4945,0.0,5.427,1.4449,2.0,2.86,1.54,1.8771
1830,2.6,2.2,0.65,15,4,2,5,0.3,False,10,True,0.08,TEAM,TEAM,5,5,0.4492,0.0651,19.57,3.22,3.8485,0.0,11.0,3.22,3.4619,0.0,7.513,2.0603,3.0,3.22,1.43,1.8357
2214,2.8,1.8,0.7,12,4,1,3,0.3,False,10,True,0.08,TEAM,TEAM,5,5,0.4073,0.0624,22.55,3.62,3.5551,0.0,25.0,3.45,3.4468,0.0,6.929,2.1008,4.0,3.47,1.53,1.8056
2143,2.8,1.8,0.65,15,4,1,3,0.4,False,10,True,0.08,TEAM,TEAM,5,5,0.4451,0.0762,21.52,3.64,3.2525,0.0,33.0,3.39,3.4393,0.0,6.794,1.7653,6.0,3.41,1.43,1.7932
1818,2.6,2.2,0.65,15,4,1,3,0.3,False,10,True,0.08,TEAM,TEAM,5,5,0.445,0.0682,21.17,3.38,3.6115,0.0,20.0,3.33,3.4361,0.0,6.622,1.8945,2.0,3.34,1.47,1.8316
486,2.4,2.0,0.65,12,4,1,3,0.3,False,10,True,0.08,TEAM,TEAM,5,5,0.4942,0.0712,22.3,2.93,3.9664,0.0,5.0,2.93,3.4334,0.0,5.037,1.5279,1.0,2.93,1.59,1.855
2719,2.8,2.2,0.65,10,4,1,3,0.4,False,10,True,0.08,TEAM,TEAM,5,5,0.419,0.0718,19.73,3.57,2.9815,0.0,27.0,3.4,3.428,0.0,7.623,1.6647,4.0,3.4,1.44,1.7997
1758,2.6,2.2,0.65,10,4,2,5,0.3,False,10,True,0.08,TEAM,TEAM,5,5,0.4431,0.0736,19.61,3.15,3.9216,0.0,13.0,3.13,3.4214,0.0,6.612,1.7782,9.0,3.13,1.42,1.7536
127,2.4,1.8,0.65,10,4,1,3,0.4,False,10,True,0.08,TEAM,TEAM,5,5,0.4952,0.0637,22.6,3.36,3.1679,0.0,22.0,3.21,3.4048,0.0,6.437,1.3558,0.0,3.25,1.43,1.851
2442,2.8,2.0,0.65,12,4,2,5,0.3,False,10,True,0.08,TEAM,TEAM,5,5,0.4143,0.0681,20.13,3.76,2.6993,0.0,37.0,3.72,3.3912,0.0,6.793,2.0555,5.0,3.68,1.46,1.7699
2404,2.8,2.0,0.65,10,4,2,3,0.4,False,10,True,0.08,TEAM,TEAM,5,5,0.4476,0.0754,20.51,3.47,3.7234,0.0,22.0,3.36,3.3891,0.0,6.667,2.072,6.0,3.35,1.38,1.7688
1216,2.6,1.8,0.7,10,4,2,3,0.4,False,10,True,0.08,TEAM,TEAM,5,5,0.4226,0.067,21.61,3.68,2.7713,0.0,39.0,3.5,3.3873,0.0,6.693,1.624,5.0,3.47,1.55,1.7704
2866,2.8,2.2,0.7,12,4,1,5,0.4,False,10,True,0.08,TEAM,TEAM,5,5,0.37,0.0677,20.23,4.52,2.6662,0.0,57.0,3.81,3.3703,0.0,8.524,2.0004,11.0,3.84,1.32,1.6861
2538,2.8,2.0,0.7,12,4,1,3,0.3,False,10,True,0.08,TEAM,TEAM,5,5,0.3945,0.0609,22.73,3.97,3.1014,0.0,41.0,3.59,3.3696,0.0,7.793,2.1678,9.0,3.6,1.5,1.7131
1468,2.6,2.0,0.65,12,4,2,3,0.4,False,10,True,0.08,TEAM,TEAM,5,5,0.4672,0.0727,20.74,3.45,3.2277,0.0,25.0,3.29,3.3689,0.0,6.406,1.5197,4.0,3.31,1.48,1.7846
1785,2.6,2.2,0.65,12,4,1,5,0.3,False,10,True,0.08,TEAM,TEAM,5,5,0.419,0.0806,19.45,3.39,3.4218,0.0,23.0,3.28,3.3588,0.0,6.43,1.7731,10.0,3.28,1.46,1.7051
2800,2.8,2.2,0.65,15,4,2,3,0.4,False,10,True,0.08,TEAM,TEAM,5,5,0.4019,0.0706,19.85,3.65,3.1029,0.0,29.0,3.48,3.3511,0.0,6.67,1.8547,5.0,3.48,1.41,1.7461
1747,2.6,2.2,0.65,10,4,1,3,0.4,False,10,True,0.08,TEAM,TEAM,5,5,0.4295,0.0641,20.34,3.52,3.1703,0.0,27.0,3.37,3.3494,0.0,6.224,1.648,1.0,3.37,1.42,1.7935
2731,2.8,2.2,0.65,10,4,2,5,0.4,False,10,True,0.08,TEAM,TEAM,5,5,0.3976,0.0693,18.13,3.63,2.9406,0.0,33.0,3.49,3.3454,0.0,6.514,1.7308,5.0,3.47,1.37,1.742
2862,2.8,2.2,0.7,12,4,1,3,0.3,False,10,True,0.08,TEAM,TEAM,5,5,0.4019,0.0574,22.57,3.81,3.0229,0.0,35.0,3.58,3.3392,0.0,6.379,1.9009,2.0,3.58,1.49,1.7702
858,2.4,2.2,0.65,15,4,2,5,0.3,False,10,True,0.08,TEAM,TEAM,5,5,0.4748,0.0744,19.83,3.02,3.4984,0.0,12.0,3.01,3.3366,0.0,6.068,1.4609,2.0,3.02,1.38,1.7907
1206,2.6,1.8,0.7,10,4,1,3,0.3,False,10,True,0.08,TEAM,TEAM,5,5,0.4147,0.0693,23.06,3.68,3.0813,0.0,33.0,3.39,3.33,0.0,6.654,1.9166,7.0,3.44,1.53,1.7194
1432,2.6,2.0,0.65,10,4,2,3,0.4,False,10,True,0.08,TEAM,TEAM,5,5,0.454,0.0681,21.18,3.7,3.1829,0.0,27.0,3.48,3.3285,0.0,6.242,1.8183,6.0,3.47,1.46,1.7405
136,2.4,1.8,0.65,10,4,2,3,0.4,False,10,True,0.08,TEAM,TEAM,5,5,0.4961,0.0696,22.13,3.31,3.1818,0.0,25.0,3.18,3.3211,0.0,5.558,1.3987,2.0,3.18,1.43,1.7894
2728,2.8,2.2,0.65,10,4,2,3,0.4,False,10,True,0.08,TEAM,TEAM,5,5,0.4097,0.0666,19.96,3.71,2.6769,0.0,34.0,3.56,3.318,0.0,7.046,1.6532,1.0,3.54,1.4,1.7719
1135,2.6,1.8,0.65,12,4,1,3,0.4,False,10,True,0.08,TEAM,TEAM,5,5,0.46,0.0772,21.71,3.55,3.0653,0.0,35.0,3.31,3.3104,0.0,5.93,1.5497,5.0,3.35,1.35,1.7432
855,2.4,2.2,0.65,15,4,2,3,0.3,False,10,True,0.08,TEAM,TEAM,5,5,0.4929,0.067,21.81,3.01,3.8459,0.0,8.0,3.01,3.2924,0.0,5.682,1.7467,3.0,3.01,1.41,1.7641
460,2.4,2.0,0.65,10,4,2,3,0.4,False,10,True,0.08,TEAM,TEAM,5,5,0.4928,0.071,21.31,3.15,3.2734,0.0,17.0,3.07,3.291,0.0,5.284,1.4051,1.0,3.04,1.49,1.7833
2397,2.8,2.0,0.65,10,4,1,5,0.3,False,10,True,0.08,TEAM,TEAM,5,5,0.4094,0.067,20.31,4,2.4554,0.0,50.0,3.82,3.2851,0.0,8.182,2.1591,9.0,3.88,1.46,1.6754
1792,2.6,2.2,0.65,12,4,2,3,0.4,False,10,True,0.08,TEAM,TEAM,5,5,0.4323,0.0654,20.37,3.4,3.2714,0.0,27.0,3.27,3.2825,0.0,6.417,1.7774,7.0,3.31,1.45,1.7009
1828,2.6,2.2,0.65,15,4,2,3,0.4,False,10,True,0.08,TEAM,TEAM,5,5,0.4354,0.0775,20.23,3.45,2.8805,0.0,26.0,3.31,3.2637,0.0,5.821,1.5315,1.0,3.33,1.43,1.7525
2407,2.8,2.0,0.65,10,4,2,5,0.4,False,10,True,0.08,TEAM,TEAM,5,5,0.3743,0.083,18.98,4.56,1.9644,0.0,59.0,3.91,3.251,0.0,6.849,1.7069,7.0,3.89,1.34,1.6678
2502,2.8,2.0,0.7,10,4,1,3,0.3,False,10,True,0.08,TEAM,TEAM,5,5,0.3982,0.0587,22.64,3.74,3.3516,0.0,30.0,3.55,3.2493,0.0,6.875,2.317,7.0,3.61,1.42,1.6741
2073,2.8,1.8,0.65,10,4,1,5,0.3,False,10,True,0.08,TEAM,TEAM,5,5,0.4023,0.0702,20.21,3.91,2.5861,0.0,40.0,3.77,3.2461,0.0,6.644,2.084,7.0,3.77,1.38,1.6737
